t,X,Y,Z,p
1650.0,967516.7016349093,5625532.551306126,2845378.52424817,20594285.786364432
1655.0,967514.3397910708,5625535.4595296085,2845373.5775594814,20593682.915673524
1660.0,967511.574795458,5625537.58951577,2845370.306582592,20593084.41546371
1665.0,967507.9229789131,5625539.107416738,2845368.547288369,20592490.46667595
1670.0,967502.9874796344,5625540.239296554,2845367.9876728174,20591901.208894495
1675.0,967496.4970909464,5625541.249002472,2845368.198298503,20591316.727041733
1680.0,967488.3328086408,5625542.412338009,2845368.6743312203,20590737.04335631
1685.0,967478.5394793611,5625543.990065853,2845368.884956894,20590162.115417603
1690.0,967467.3214100536,5625546.2023831755,2845368.3253413583,20589591.840396546
1695.0,967455.0223685725,5625549.207367818,2845366.566046831,20589026.065113116
1700.0,967442.0919333646,5625553.085505079,2845363.295067939,20588464.60092295
1705.0,967429.0414862225,5625557.831809659,2845358.3483726713,20587907.241992258
1710.0,967416.3941557065,5625563.356313901,2845351.7259588577,20587353.785197068
1715.0,967404.633610827,5625569.492874542,2845343.591854518,20586804.04972927
1720.0,967394.1567170506,5625576.015435946,2845334.258062051,20586257.89452344
1725.0,967385.2346887083,5625582.660157894,2845324.154017801,20585715.23183144
1730.0,967377.9865403688,5625589.151241923,2845313.784556334,20585176.0356447
1735.0,967372.3674360374,5625595.227928187,2845303.680494019,20584640.344162226
1740.0,967368.1730769285,5625600.670020145,2845294.346669021,20584108.256076045
1745.0,967365.0596986597,5625605.319438565,2845286.212523924,20583579.9210411
1750.0,967362.5777206898,5625609.095694955,2845279.590068394,20583055.52525536
1755.0,967360.2157543087,5625612.003769853,2845274.643336968,20582535.273544814
1760.0,967357.4506612936,5625614.133624799,2845271.372331819,20582019.369682327
1765.0,967353.7987629073,5625615.651395885,2845269.6130223963,20581507.996836435
1770.0,967348.863186246,5625616.783130993,2845269.05340201,20581001.300030977
1775.0,967342.3727130963,5625617.792662662,2845269.2640295154,20580499.37230012
1780.0,967334.2083284039,5625618.955782595,2845269.740066346,20580002.245865237
1785.0,967324.4148697216,5625620.5332456995,2845269.9506938388,20579509.889175203
1790.0,967313.1966375501,5625622.745246189,2845269.391073468,20579022.21008592
1795.0,967300.8973965726,5625625.749864039,2845267.631763742,20578539.06486447
1800.0,967287.9667256514,5625629.627591577,2845264.3607565896,20578060.272142902
1805.0,967274.9160105399,5625634.373454732,2845259.414018586,20577585.630472466
1810.0,967262.2683869164,5625639.897500179,2845252.7915475583,20577114.937784445
1815.0,967250.5075333699,5625646.033600689,2845244.6573729445,20576648.010883164
1820.0,967240.0303264691,5625652.5557167865,2845235.3234998393,20576184.703096315
1825.0,967231.1079920831,5625659.200022966,2845225.219368297,20575724.91838766
1830.0,967223.8595556254,5625665.690732586,2845214.849817245,20575268.620579697
1835.0,967218.2401901915,5625671.767093574,2845204.7456676387,20574815.83680601
1840.0,967214.0456034421,5625677.208912351,2845195.411762004,20574366.654868964
1845.0,967210.9320341648,5625681.858107546,2845187.2775466344,20573921.21476491
1850.0,967208.4499014029,5625685.634183644,2845180.6550338916,20573479.6951995
1855.0,967206.0878124868,5625688.542109952,2845175.7082597306,20573042.296396423
1860.0,967203.3226220753,5625690.671833677,2845172.4372263225,20572609.220857643
1865.0,967199.6706418531,5625692.189474879,2845170.6779017015,20572180.6539281
1870.0,967194.7349878153,5625693.321065275,2845170.11827648,20571756.74603429
1875.0,967188.2444302101,5625694.330422693,2845170.3289058055,20571337.598302856
1880.0,967180.0799431391,5625695.493327012,2845170.804946748,20570923.252938017
