t,X,Y,Z
11680.0,952056.5967393367,5633167.521145779,2835471.021772826
11685.0,952046.7905196847,5633169.072366951,2835471.232580156
11690.0,952035.556224976,5633171.252960274,2835470.6724819737
11695.0,952023.2373063107,5633174.221216761,2835468.911670124
11700.0,952010.2833828537,5633178.0583247105,2835465.6378701436
11705.0,951997.2062305993,5633182.760422848,2835460.686908558
11710.0,951984.5296872015,5633188.238978537,2835454.058783203
11715.0,951972.7383762401,5633194.3294540625,2835445.9176635775
11720.0,951962.2302697866,5633200.807412712,2835436.5758211813
11725.0,951953.277732487,5633207.41048809,2835426.463062735
11730.0,951946.0008603362,5633213.864066192,2835416.0846582036
11735.0,951940.3557240235,5633219.9081663145,2835405.9718817556
11740.0,951936.1386679555,5633225.322889474,2835396.6300069415
11745.0,951933.0062444943,5633229.949943277,2835388.488846701
11750.0,951930.5088323954,5633233.708136225,2835381.8606797745
11755.0,951928.1346487802,5633236.601324798,2835376.909682156
11760.0,951925.3598463787,5633238.71803548,2835373.63585601
11765.0,951921.6997919313,5633240.222798773,2835371.875029317
11770.0,951916.7565059719,5633241.3400436025,2835371.3149263007
11775.0,951910.2576200013,5633242.332128666,2835371.525735456
11780.0,951902.0830375553,5633243.473661198,2835372.0021828315
11785.0,951892.276689509,5633245.02461697,2835372.212991975
11790.0,951881.0422331694,5633247.20489264,2835371.652888975
11795.0,951868.7231164721,5633250.172781345,2835369.8920619786
11800.0,951855.7689589813,5633254.009478422,2835366.6182338367
11805.0,951842.6915406139,5633258.711133846,2835361.6672296626
11810.0,951830.0147060866,5633264.189229344,2835355.0390472924
11815.0,951818.2230884917,5633270.279243287,2835346.897857638
11820.0,951807.7146709305,5633276.756755175,2835337.555934884
11825.0,951798.7618295157,5633283.359413375,2835327.4430894493
11830.0,951791.4846710259,5633289.812615756,2835317.064595645
11835.0,951785.8392751926,5633295.856389422,2835306.951732209
11840.0,951781.6219928403,5633301.270838378,2835297.6097770385
11845.0,951778.489379496,5633305.897668106,2835289.46854677
11850.0,951775.9918135157,5633309.65568007,2835282.84032283
11855.0,951773.6175080988,5633312.548719501,2835277.8892826242
11860.0,951770.8426089123,5633314.665298515,2835274.615428318
11865.0,951767.1824731855,5633316.169931535,2835272.8545864793
11870.0,951762.2391104228,5633317.287031267,2835272.2944786446
11875.0,951755.7401406579,5633318.278941646,2835272.5052896137
11880.0,951747.5654566443,5633319.420258038,2835272.9817410875
11885.0,951737.7589802134,5633320.970948403,2835273.192552044
